valor_ipc,categoria_gasto,fecha_iso,indicador
71.085,IPC General,2002-08-01,IPC_Indice_Base_2021_INE
70.882,IPC General,2002-07-01,IPC_Indice_Base_2021_INE
71.377,IPC General,2002-06-01,IPC_Indice_Base_2021_INE
71.374,IPC General,2002-05-01,IPC_Indice_Base_2021_INE
71.118,IPC General,2002-04-01,IPC_Indice_Base_2021_INE
70.165,IPC General,2002-03-01,IPC_Indice_Base_2021_INE
69.59,IPC General,2002-02-01,IPC_Indice_Base_2021_INE
69.53,IPC General,2002-01-01,IPC_Indice_Base_2021_INE
2.9,IPC General,2025-12-01,IPC_Variacion_Anual_INE
3.0,IPC General,2025-11-01,IPC_Variacion_Anual_INE
3.1,IPC General,2025-10-01,IPC_Variacion_Anual_INE
3.0,IPC General,2025-09-01,IPC_Variacion_Anual_INE
2.7,IPC General,2025-08-01,IPC_Variacion_Anual_INE
2.7,IPC General,2025-07-01,IPC_Variacion_Anual_INE
2.3,IPC General,2025-06-01,IPC_Variacion_Anual_INE
2.0,IPC General,2025-05-01,IPC_Variacion_Anual_INE
2.2,IPC General,2025-04-01,IPC_Variacion_Anual_INE
2.3,IPC General,2025-03-01,IPC_Variacion_Anual_INE
3.0,IPC General,2025-02-01,IPC_Variacion_Anual_INE
2.9,IPC General,2025-01-01,IPC_Variacion_Anual_INE
2.8,IPC General,2024-12-01,IPC_Variacion_Anual_INE
2.4,IPC General,2024-11-01,IPC_Variacion_Anual_INE
1.8,IPC General,2024-10-01,IPC_Variacion_Anual_INE
1.5,IPC General,2024-09-01,IPC_Variacion_Anual_INE
2.3,IPC General,2024-08-01,IPC_Variacion_Anual_INE
2.8,IPC General,2024-07-01,IPC_Variacion_Anual_INE
3.4,IPC General,2024-06-01,IPC_Variacion_Anual_INE
3.6,IPC General,2024-05-01,IPC_Variacion_Anual_INE
3.3,IPC General,2024-04-01,IPC_Variacion_Anual_INE
3.2,IPC General,2024-03-01,IPC_Variacion_Anual_INE
2.8,IPC General,2024-02-01,IPC_Variacion_Anual_INE
3.4,IPC General,2024-01-01,IPC_Variacion_Anual_INE
3.1,IPC General,2023-12-01,IPC_Variacion_Anual_INE
3.2,IPC General,2023-11-01,IPC_Variacion_Anual_INE
3.5,IPC General,2023-10-01,IPC_Variacion_Anual_INE
3.5,IPC General,2023-09-01,IPC_Variacion_Anual_INE
2.6,IPC General,2023-08-01,IPC_Variacion_Anual_INE
2.3,IPC General,2023-07-01,IPC_Variacion_Anual_INE
1.9,IPC General,2023-06-01,IPC_Variacion_Anual_INE
3.2,IPC General,2023-05-01,IPC_Variacion_Anual_INE
4.1,IPC General,2023-04-01,IPC_Variacion_Anual_INE
3.3,IPC General,2023-03-01,IPC_Variacion_Anual_INE
6.0,IPC General,2023-02-01,IPC_Variacion_Anual_INE
5.9,IPC General,2023-01-01,IPC_Variacion_Anual_INE
5.7,IPC General,2022-12-01,IPC_Variacion_Anual_INE
6.8,IPC General,2022-11-01,IPC_Variacion_Anual_INE
7.3,IPC General,2022-10-01,IPC_Variacion_Anual_INE
8.9,IPC General,2022-09-01,IPC_Variacion_Anual_INE
10.5,IPC General,2022-08-01,IPC_Variacion_Anual_INE
10.8,IPC General,2022-07-01,IPC_Variacion_Anual_INE
10.2,IPC General,2022-06-01,IPC_Variacion_Anual_INE
8.7,IPC General,2022-05-01,IPC_Variacion_Anual_INE
8.3,IPC General,2022-04-01,IPC_Variacion_Anual_INE
9.8,IPC General,2022-03-01,IPC_Variacion_Anual_INE
7.6,IPC General,2022-02-01,IPC_Variacion_Anual_INE
6.1,IPC General,2022-01-01,IPC_Variacion_Anual_INE
6.5,IPC General,2021-12-01,IPC_Variacion_Anual_INE
5.5,IPC General,2021-11-01,IPC_Variacion_Anual_INE
5.4,IPC General,2021-10-01,IPC_Variacion_Anual_INE
4.0,IPC General,2021-09-01,IPC_Variacion_Anual_INE
3.3,IPC General,2021-08-01,IPC_Variacion_Anual_INE
2.9,IPC General,2021-07-01,IPC_Variacion_Anual_INE
2.7,IPC General,2021-06-01,IPC_Variacion_Anual_INE
2.7,IPC General,2021-05-01,IPC_Variacion_Anual_INE
2.2,IPC General,2021-04-01,IPC_Variacion_Anual_INE
1.3,IPC General,2021-03-01,IPC_Variacion_Anual_INE
0.0,IPC General,2021-02-01,IPC_Variacion_Anual_INE
0.5,IPC General,2021-01-01,IPC_Variacion_Anual_INE
-0.5,IPC General,2020-12-01,IPC_Variacion_Anual_INE
-0.8,IPC General,2020-11-01,IPC_Variacion_Anual_INE
-0.8,IPC General,2020-10-01,IPC_Variacion_Anual_INE
-0.4,IPC General,2020-09-01,IPC_Variacion_Anual_INE
-0.5,IPC General,2020-08-01,IPC_Variacion_Anual_INE
-0.6,IPC General,2020-07-01,IPC_Variacion_Anual_INE
-0.3,IPC General,2020-06-01,IPC_Variacion_Anual_INE
-0.9,IPC General,2020-05-01,IPC_Variacion_Anual_INE
-0.7,IPC General,2020-04-01,IPC_Variacion_Anual_INE
0.0,IPC General,2020-03-01,IPC_Variacion_Anual_INE
0.7,IPC General,2020-02-01,IPC_Variacion_Anual_INE
1.1,IPC General,2020-01-01,IPC_Variacion_Anual_INE
0.8,IPC General,2019-12-01,IPC_Variacion_Anual_INE
0.4,IPC General,2019-11-01,IPC_Variacion_Anual_INE
0.1,IPC General,2019-10-01,IPC_Variacion_Anual_INE
0.1,IPC General,2019-09-01,IPC_Variacion_Anual_INE
0.3,IPC General,2019-08-01,IPC_Variacion_Anual_INE
0.5,IPC General,2019-07-01,IPC_Variacion_Anual_INE
0.4,IPC General,2019-06-01,IPC_Variacion_Anual_INE
0.8,IPC General,2019-05-01,IPC_Variacion_Anual_INE
1.5,IPC General,2019-04-01,IPC_Variacion_Anual_INE
1.3,IPC General,2019-03-01,IPC_Variacion_Anual_INE
1.1,IPC General,2019-02-01,IPC_Variacion_Anual_INE
1.0,IPC General,2019-01-01,IPC_Variacion_Anual_INE
1.2,IPC General,2018-12-01,IPC_Variacion_Anual_INE
1.7,IPC General,2018-11-01,IPC_Variacion_Anual_INE
2.3,IPC General,2018-10-01,IPC_Variacion_Anual_INE
2.3,IPC General,2018-09-01,IPC_Variacion_Anual_INE
2.2,IPC General,2018-08-01,IPC_Variacion_Anual_INE
2.2,IPC General,2018-07-01,IPC_Variacion_Anual_INE
2.3,IPC General,2018-06-01,IPC_Variacion_Anual_INE
2.1,IPC General,2018-05-01,IPC_Variacion_Anual_INE
1.1,IPC General,2018-04-01,IPC_Variacion_Anual_INE
1.2,IPC General,2018-03-01,IPC_Variacion_Anual_INE
